Geographic Level,Industry,Location,score,Composite Score,DensityLog,FundingMedian,SuccessRate,RecentGrowth,N,Confidence
City,FinTech,San Jose,0.8259428781347118,0.7906382184323231,2.9444389791664403,5.0,0.9444444444444444,,18,Low
City,FinTech,Oakland,0.8216481602557696,0.8474955585084097,2.995732273553991,6.0,0.9473684210526316,,19,Low
City,FinTech,Bangalore,0.8110769262053176,0.7499999999999999,4.343805421853684,3.0,1.0,,76,High
City,FinTech,Seoul,0.7968261264082831,0.7999999999999999,3.80666248977032,4.0,1.0,,44,Medium
City,FinTech,Vienna,0.7816666073202602,0.7685926313364805,2.8903717578961645,4.0,1.0,,17,Low
City,FinTech,Hamburg,0.7677933864525096,0.7254061811605766,2.833213344056216,4.0,0.9375,,16,Low
City,FinTech,Jakarta,0.7655140542560891,0.7499999999999999,3.8918202981106265,3.0,1.0,,48,Medium
City,FinTech,Pittsburgh,0.7621079513915351,0.7092963156682403,1.791759469228055,5.0,1.0,,5,Low
City,FinTech,Minneapolis,0.7590119426261099,0.7246321184229131,1.9459101490553128,5.0,1.0,,6,Low
City,FinTech,Palo Alto,0.7581374845111818,0.7366666666666666,3.828641396489095,3.0,0.9777777777777776,,45,Medium
